entry_id,status,matches,len
syyh_cf60c370-545f-49d8-9d75-c43de0dcbcbc,Emily’s data from the texts? can probably ignore,"{'yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8': ('yyh', 0.8571428571428571)}",1
t&apos;ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12,delete from clean,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 1.0)}",1
t&apos;õõm_6945fd07-f2f1-4af1-a00a-c25ab150e2a3,delete from clean,"{'t’õõm_3cdcf804-ed94-4d32-8388-d8ed3cf4b239': ('t’õõm', 1.0), 'tɔ̰̃:m_d95571f5-ea34-4361-bbc3460b2723ced7': ('tɔ̰̃:m', 0.9166666666666666)}",2
t&apos;õp_1895b435-ca91-4f37-9a89-e0f3d223f89a,delete from clean,"{'tɔ̰̃p_f5d2c6fc-7483-4978-a80f1a12a7d69427': ('tɔ̰̃p', 0.9)}",1
ta h&apos;ëëb tym_084047b3-92cc-4c52-9e72-35d8fc26b60c,delete new?,{},0
ta-_c0e73567-fba2-4e50-87f1-ea99f887fc7c,merge entries,"{'ta=_6b321888-48e5-4284-8888-97bf4c031f6b': ('ta=', 1.0)}",1
tah&apos;ỹỹb_979a8c31-a85b-459d-b598-414010f8b465,delete from clean,"{'tahʹỹỹb_979a8c31-a85b-459d-b598-414010f8b465': ('tahʹỹỹb', 1.0), 'hɨ̰̃:b_13495014-5582-4f05-84fc3cb0ed8b0ed3': ('hɨ̰̃:b', 0.8571428571428571), 'hɨ̰̃:b_619d57b3-8d4b-4700-b236f85239dd9577': ('hɨ̰̃:b', 0.8571428571428571)}",3
tëëg hõõ_d8c36eed-f9d1-43ea-a049-1b237a789149,hõõ or hood? Ask Karol,"{'tëëg hood_d8c36eed-f9d1-43ea-a049-1b237a789149': ('tëëg hood', 0.9166666666666666)}",1
tëëng1_973a6d9c-adec-4a58-98e0-2ac2c9961a59,is this tÿÿg? Ask Karol,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 0.9444444444444444), 'tɨ:ŋ_e2b5fecf-076d-455e-afca70e5369e1d23': ('tɨ:ŋ', 0.875)}",2
tëëng2_35605a07-6b58-44e8-99f9-29cff15e2bad,is this tÿÿg? Ask Karol,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 0.9444444444444444)}",1
ti2_f7c537d1-00e0-4fb1-8af2-4b4a353c8c3a,Emily’s data from the texts? can probably ignore,"{'tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def': ('tii', 0.9)}",1
tii3_a4240339-00a5-462d-90bb-2cff03dfd820,ask Karol about 3 tii’s,"{'tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def': ('tii', 1.0)}",1
tón1_a00d1bb1-25e3-4c3d-953c-57dd3b546cd4,delete from clean,"{'atɔn_bc968ce0-9509-4ec9-b8d1a524b3bef357': ('atɔn', 0.8571428571428571)}",1
tón2_4d78c40b-dc3b-49b4-94e7-e7eead74ebae,delete from clean,"{'atɔn_bc968ce0-9509-4ec9-b8d1a524b3bef357': ('atɔn', 0.8571428571428571)}",1
tpéh_185742c8-a9c5-4745-b66a-a8f4f48aaf5c,delete new,"{'pɛh_ee911202-c9b9-436e-8f4e23aff9b0cbb7': ('pɛh', 0.8571428571428571)}",1
tsʹaah_be6ef049-4a0b-4431-ade9-063237e7fde5,delete from clean,"{'tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5': ('tsʹaa', 0.9444444444444444)}",1
tũ_22152a27-e164-405e-b4b5-f3b9d7f6331d,delete from clean,"{'tũ:_22152a27-e164-405e-b4b5f3b9d7f6331e': ('tũ:', 0.9285714285714286)}",1
tug1_6c751529-23ec-405f-bec2-ac9a1cd2a826,delete from clean,"{'tug_6c751529-23ec-405f-bec2ac9a1cd2a827': ('tug', 1.0)}",1
tug2_9ef38952-2978-42b8-8caf-673aff8099cc,was this entry intentional? (ask Karol),"{'tug_6c751529-23ec-405f-bec2ac9a1cd2a827': ('tug', 1.0)}",1
w&apos;oo_a56a5c20-7c47-4248-b98b-44682b0b31f4,delete from clean,"{'wo̰:_7129100e-d981-4dd4-bc481b86037bb2d5': ('wo̰:', 1.0)}",1
w&apos;oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2,delete from clean,"{'w’oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2': ('w’oor', 1.0)}",1
w&apos;yyt_a647d290-06f4-42f9-ad43-af7f0dbbe0f2,Emily’s data from the texts? can probably ignore,"{'awɨ̰:t_28c22592-67e2-46c3-98ea6d35223f641a': ('awɨ̰:t', 0.9090909090909091)}",1
wabëë_dcae8bd6-6662-4188-b818-94d23063c4d4,merge w/ wabëëh,"{'waëë_860ebf6f-0614-4d29-b3a5-bc6d391c2301': ('waëë', 0.8888888888888888)}",1
wabëëh_824e379b-cebb-40ff-b394-d82d94ca0ba4,merge w/ wabëë,"{'abə̰:h_61005ddd-f254-40c6-b2cd2f1a0e5ce7b5': ('abə̰:h', 0.875)}",1
wajats_ad8e1685-a540-42c7-a1a6-345f1d62a409,delete from clean,"{'wajats2_ad8e1685-a540-42c7-a1a6-345f1d62a409': ('wajats', 1.0)}",1
warahén_d19ed409-f161-40d6-90a9-dede5c019714,delete from clean,"{'warahen2_9f60eea4-12af-4bff-b76f-4b605295b5a8': ('warahen', 0.9285714285714286), 'warahen1_d19ed409-f161-40d6-90a9-dede5c019714': ('warahen', 0.9285714285714286)}",2
watoor_7c591ae2-72c2-4bc3-8498-908678de5333,delete from clean,"{'watu:r_6c6d6af3-914f-4223-af5b893f529f5157': ('watu:r', 0.9166666666666666)}",1
waw&apos;oos_713c2e49-683d-4b4c-b21a-cb6fbd07c005,delete from clean,"{'wawo̰:ʃ_713c2e49-683d-4b4c-b21acb6fbd07c006': ('wawo̰:ʃ', 1.0)}",1
wëëm_990d5cb5-98be-420d-9662-a39d1662fc24,delete from clean,"{'wëm_429bd290-09e2-451d-876e-1e9f8f1d97e2': ('wëm', 0.9285714285714286)}",1
wëët_ecd559af-f1e4-42d0-9f9f-36fcbca83133,delete from clean,"{'wət_3d9e8a40-28bc-4880-9dc1525d808cd0db': ('wət', 0.9285714285714286)}",1
ỹ1_acdb0c0b-2c0f-454f-91d1-eea4498bebf7,"multiple copies, handle w/ Karol","{'ỹỹ1_69bb7e8c-5cfd-44b4-ae68-52a804cc60ed': ('ỹỹ', 0.9), 'ɨ̃:_940740bd-e5dd-4023-b3e383d09a805728': ('ɨ̃:', 0.9)}",2
ỹ2_44326e66-729c-4ee4-bb17-3fab46c26650,"multiple copies, handle w/ Karol","{'ỹỹ1_69bb7e8c-5cfd-44b4-ae68-52a804cc60ed': ('ỹỹ', 0.9), 'ɨ̃:_940740bd-e5dd-4023-b3e383d09a805728': ('ɨ̃:', 0.9)}",2
ỹỹm2_6df4a3ea-6f27-4a2f-b09a-82cb9d62d1a3,delete from clean,"{'ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb': ('ỹỹm', 1.0)}",1
