entry_id,variants
pä_f147e3d8-5601-4640-b31b-4fd6d06fa113,{'pʌʔ1_cad2429f-304a-437a-ac65-bad608ba9e61': 'undef'}
agä2_b43dfe1e-4d9c-44c4-966b-7cdca5ef5b85,"{'agä1_9e97d488-8f8e-490b-89a8-290893ddccc7': 'SIL Dict 2011', 'gä_8c3e9683-efa0-43fd-b2c6-7fb130828ae8': 'SIL 2011. same as hdwrd?'}"
warahen2_9f60eea4-12af-4bff-b76f-4b605295b5a8,{'warahen1_d19ed409-f161-40d6-90a9-dede5c019714': 'make into sense variant instd of full variant'}
atón_bc968ce0-9509-4ec9-b8d1-a524b3bef356,{'tón_a00d1bb1-25e3-4c3d-953c-57dd3b546cd4': 'Weir'}
dó1_b34c70de-07c4-4851-930b-b7d6ef30937c,{'dó2_a08df22d-80e3-4118-9cee-83f37742f065': 'Weir'}
tsabud_a11cacd5-6a89-4610-a116-102feb4799f7,{'ɟabud_c59dda44-a224-4265-8c63-5a694be26e01': 'undef'}
dén_a34486b3-8510-4e08-b3a3-222244121a73,{'dɛn_d2b3947a-62a9-499f-a2db-b953e9ae2cd0': 'undef'}
takod2_a630902b-b26a-4906-870e-2c4c62b001b1,{'takod1_b4a9928d-a6e7-43f6-8956-769d02980cf9': 'SIL 2011- related?'}
gód2_afb44df8-075a-40c9-8eed-b4be294caa89,{'gód1_c8bf4c45-4267-46ab-b762-3812481e1fef': 'SIL Dict 2011'}
tsawaaj_bd4ddf53-09b2-485e-bb4b-06c84d176264,{'ɟawaːj_b03fc85e-ed55-4fb1-a5b5-02f36f54c659': 'undef'}
biin1_b2e517bb-acfb-4a33-9270-f9596069cab5,"{'biin2_d5f5134a-adda-4de8-949a-b01dde299ee5': 'Weir', 'biin3_e6e5bae8-d2ad-412e-b701-c994681eb9d5': 'Weir- sense variant?'}"
gehõk_b5552c55-9b4f-4af3-b075-530fed54518b,{'hɔ̃k_7ee84e60-c92c-46bb-bfdb-1ba24ed847f4': 'undef (prefix)'}
nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4,{'nũːh_ba8e92bb-bb4e-4c35-8130-8f8904c855b7': 'undef'}
jari2_bbaa0f20-3585-42c0-b1c0-d282645f34a0,{'jari1_8ef2bb28-e416-4ac6-a057-c9b7793195b1': 'DELETE'}
tyyg_aa58bcaf-dbda-4802-ad73-a4a3d2881445,"{'tëëng_973a6d9c-adec-4a58-98e0-2ac2c9961a59': 'DELETE? replace w/ ty""y""g?'}"
oow2_d04af342-ffb6-4ca8-806b-a630870f74ee,"{'oow1_eb8de02c-9b06-4ddc-af7a-cba13637ac34': 'SIL Dict 2011', 'ʔoːw1_f450e27e-ab41-4277-a9ec-2d5c346698a5': 'undef'}"
mahũũr1_d5012807-382c-4ce2-ae64-fe70e83272d7,{'mahũũr2_f18a6646-c5a7-440a-ad32-7f3d8a2ddb79': 'DELETE'}
dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4,"{'dooh2_f50666b1-7d7e-449a-8205-0cda6a02f920': 'Weir', 'doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c': 'undef'}"
yd1_81932843-b81d-48e9-988f-c34c461ec695,{'yd2_d910005f-ac8b-4310-9ed0-79680c7a88fd': 'Cartilhas'}
bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,{'taba̰ːh_de71206e-e9a3-466d-9f04-99311263ecfd': 'undef'}
ehë̃p_df3af308-6431-4a3e-aea7-e9264917d791,{'hɯ̃p_ceabb022-1ecb-48b9-b5d2-01c836094d5f': 'undef'}
puh1_57bb72df-4cf6-4402-bd61-4bed152962c0,{'puh4_3e5a002d-3c9a-4d6e-b54d-d47c7a488500': 'undef'}
p’eets hẽ_861f321d-8e0a-420b-ade0-944ee4181915,{'pʹeets hẽ_ec73ec5a-97dd-47c9-8c8c-1d937b51073f': 'SIL Dict 2011'}
 =dab_f62551f3-a0a5-4ba4-93d1-54fcd72b4088,{'dab_743da3f0-1447-4165-a2ee-5679ce305399': 'Weir'}
byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6,{'byy_f9c7c3ad-da4f-4387-9548-a0bbcc776ce5': 'Cartilhas'}
nxoo_4b7dce3a-006c-458c-ba0c-bb5e1c53defd,{'noo_fd121132-52a5-48ea-bd08-47e6db5af53b': 'Cartilhas'}
tsëk_af17fc38-6498-4d80-a76e-ee0c115cd3ab,"{'ketsëk_fd6da278-89a5-4bbf-92ab-6535f4c01f91': 'unknown inflection', 'getsëk_a7a832cd-2d78-4d1b-9e52-5a79e3c734ce': 'unknown inflection'}"
